odid	display_name	release_date	release_pattern	distributor	movie_url	production_year	running_time	sequel	opening_weekend_revenue	opening_weekend_theaters	maximum_theaters	theatrical_engagements	domestic_dvd_units	domestic_dvd_spending	domestic_bluray_units	domestic_bluray_spending	creative_type	source	production_method	genre	production_budget	domestic_box_office	international_box_office	inflation_adjusted_domestic_box_	franchise	video_rental_spending	rating	reason	production_company1	production_company2	production_company3	imdbid	movieId	imdb_moviemeter	imdb_rating	imdb_votes
111850100	Letters to Juliet	2010-05-14	Wide	Summit Entertainment	Letters-to-Juliet	2010	105	0	13540486	2968	2975	14835	2578770	33369840	115966	1922049	Contemporary Fiction	Based on Factual Book/Article	Live Action	Drama	30000000	53032453	29116085	56662051		21167732	PG	for brief rude behavior and sensual images, some language and incidental smoking				892318	78316		6.5	57407
111860100	The Karate Kid	2010-06-11	Wide	Sony Pictures	Karate-Kid-The-(2009)	2009	140	0	55665805	3663	3740	21331	3567243	56358896	515170	11694855	Contemporary Fiction	Remake	Live Action	Adventure	40000000	176591618	175183320	188677739	Karate Kid	54679582	PG	for bullying, martial arts action violence and some mild language				1155076	79224		6.2	98884
111870100	Get Him to the Greek	2010-06-04	Wide	Universal	Get-Him-to-the-Greek	2010	108	0	17570955	2697	2702	12279	1484980	25395881	275767	6237329	Contemporary Fiction	Spin-Off	Live Action	Comedy	40000000	60974475	30302349	65338941		50917100	R	for strong sexual content and drug use throughout, and pervasive language	Universal Pictures	Relativity Media	Spyglass Entertainment	1226229	78209		6.4	130927
111880100	Morning Glory	2010-11-10	Wide	Paramount Pictures	Morning-Glory	2010	110	0	9203266	2518	2544	11590	547210	8753822	34022	824777	Contemporary Fiction	Original Screenplay	Live Action	Comedy	40000000	31011732	28783338	33132851		15695418	PG-13	for some sexual content including dialogue, language and brief drug references.	Bad Robot			1126618	81784		6.5	51163
111950100	Repo Men	2010-03-19	Wide	Universal	Repossession-Mambo	2010		0	6126170	2521	2521	6314	484185	8532129	71605	1862334	Science Fiction	Based on Fiction Book/Short Story	Live Action	Action	32000000	13794835	4253231	14896215		19619170	R	For strong bloody violence, grisly images, language and some sexuality/nudity				1053424	75985		6.3	79644
112100100	Michael Jackson's This Is It	2009-10-28	Wide	Sony Pictures	Michael-Jacksons-This-Is-It	2009	111	0	23234394	3481	3481	12215	3300980	50026232	575063	11870338	Factual	Based on Real Life Events	Live Action	Documentary	60000000	72091016	180000000	81030298		37465508	PG	For some suggestive choreography and scary images	Columbia Pictures	The Michael Jackson Company		1477715	72131	1700	7.3	17673
112190100	Brothers	2009-12-04	Wide	Lionsgate	Brothers	2009		0	9527848	2088	2088	8503	671690	10964893	67330	1505711	Historical Fiction	Remake	Live Action	Drama	26000000	28544157	16499713	32020883		19909786	R	for language and some disturbing violent content	Relativity Media			765010	72605		7.1	73973
112250100	Brooklyn's Finest	2010-03-05	Wide	Overture Films	Brooklyns-Finest	2009		0	13350299	1936	1939	6789	678417	10676680	167756	3806901	Contemporary Fiction	Remake	Live Action	Thriller/Suspense	17000000	27163593	12069640	29022694		34003455	R	For bloody violence throughout, strong sexuality, nudity, drug content and pervasive language				1210042	74944		6.7	48486
112310100	The Blind Side	2009-11-20	Wide	Warner Bros.	Blind-Side-The	2009	128	0	34119372	3110	3407	39428	10526521	123149203	766609	14936840	Dramatization	Based on Factual Book/Article	Live Action	Drama	35000000	255959475	49746319	285060324		35388895	PG-13	For one scene involving brief violence, drug and sexual references	Alcon Entertainment	Gil Netter Productions		878804	72641		7.7	177105
112340100	The Back-up Plan	2010-04-23	Wide	CBS Films	Back-up-Plan-The	2009	104	0	12201710	3280	3280	14291	911890	12716060	50812	1032893	Contemporary Fiction	Original Screenplay	Live Action	Romantic Comedy	35000000	37490007	37791172	40055862		29441752	PG-13	for sexual content including references, some crude material and language				1212436	78264		5.2	34319
