odid	display_name	release_date	release_pattern	distributor	movie_url	production_year	running_time	sequel	opening_weekend_revenue	opening_weekend_theaters	maximum_theaters	theatrical_engagements	domestic_dvd_units	domestic_dvd_spending	domestic_bluray_units	domestic_bluray_spending	creative_type	source	production_method	genre	production_budget	domestic_box_office	international_box_office	inflation_adjusted_domestic_box_	franchise	video_rental_spending	rating	reason	production_company1	production_company2	production_company3	imdbid	movieId	imdb_moviemeter	imdb_rating	imdb_votes
8460100	The Time Traveler's Wife	2009-08-14	Wide	Warner Bros.	Time-Travelers-Wife-The	2009	107	0	18623171	2988	2988	17860	1678345	23204592	127039	3187260	Science Fiction	Based on Fiction Book/Short Story	Live Action	Drama	39000000	63414846	38917289	71278289		30133650	PG-13	for thematic elements, brief disturbing images, nudity and sexuality	New Line Cinema	Plan B Entertainment	Nick Wechsler	452694	70599		7.1	97679
8480100	The Shaggy Dog	2006-03-10	Wide	Walt Disney	Shaggy-Dog-The-(2006)	2006	98	0	16310058	3501	3501	18368	1758176	28724132			Fantasy	Remake	Live Action	Comedy	60000000	61123569	26000000	78667428			PG	for some mild rude humor.	Walt Disney Pictures	Mandeville Films	Boxing Cat	393735	44399	7254	4.1	6141
8530100	Poseidon	2006-05-12	Wide	Warner Bros.	Poseidon	2006		0	22155410	3555	3555	17169	2106477	27263717			Contemporary Fiction	Remake	Live Action	Adventure	160000000	60674817	121000000	78089872			PG-13	for intense prolonged sequences of disaster and peril				409182	45442	2027	5.6	36095
8580100	Baby Mama	2008-04-25	Wide	Universal	Baby-Mama	2008		0	17407110	2543	2627	16690	2120360	31980942			Contemporary Fiction	Original Screenplay	Live Action	Comedy	30000000	60321790	3676235	71025937		10052	PG-13	for crude and sexual humor, language and a drug reference	Relativity Media			871426	59258	2199	6.1	16216
8610100	Burn After Reading	2008-09-12	Wide	Focus Features	Burn-After-Reading	2008	97	0	19128001	2651	2657	14104	1500832	22869883			Contemporary Fiction	Original Screenplay	Live Action	Black Comedy	37000000	60355347	107812451	70862892			R	for pervasive language, some sexual content and violence.	Relativity Media	Working Title Films		887883	61323	588	7.2	93275
8660100	Brüno	2009-07-10	Wide	Universal	Bruno	2009	82	0	30619130	2756	2759	8498	809201	12011592	17396	368285	Contemporary Fiction	Based on TV	Live Action	Comedy	42000000	60054530	70733713	67501286		16216737	R	For pervasive strong and crude sexual content, graphic nudity and language	Universal Pictures	Media Rights Capital	Four by Two Films	889583	69784		5.9	103643
8720100	The Good Shepherd	2006-12-22	Wide	Universal	Good-Shepherd-The	2006	160	0	10033960	2215	2250	11701	3023205	33898478			Dramatization	Based on Real Life Events	Live Action	Drama	0	59908565	40000000	75570128			R	for some violence, sexuality and language				343737	49822	1102	6.9	47122
8740100	The Benchwarmers	2006-04-07	Wide	Sony Pictures	Benchwarmers-The	2006		0	19656429	3274	3282	15470	2073299	32934894			Contemporary Fiction	Original Screenplay	Live Action	Comedy	35000000	57651794	5219972	74199174			PG-13	for crude and suggestive humor, and for language	Revolution Studios	Happy Madison		437863	44840	1952	5.4	17888
8860100	Surf's Up	2007-06-08	Wide	Sony Pictures	Surfs-Up	2007		0	17640249	3528	3531	16118	3011908	46997143			Kids Fiction	Original Screenplay	Digital Animation	Adventure	100000000	58867694	86528051	72130031			PG	for mild language and some rude humor				423294	53460	2360	7	21124
8880100	Bride Wars	2009-01-09	Wide	20th Century Fox	Bride-Wars	2009		0	21058173	3226	3228	14130	2118940	32129156			Contemporary Fiction	Original Screenplay	Live Action	Comedy	30000000	58715510	56434914	65996236			PG	for suggestive content, language and some rude behavior				901476	65585		5.4	61647
8900100	Curious George	2006-02-10	Wide	Universal	Curious-George	2006	86	0	14703405	2566	2609	16436	3005453	48239767			Contemporary Fiction	Based on Fiction Book/Short Story	Hand Animation	Comedy	50000000	58336565	12412485	75080488	Curious George		G		Universal Pictures	Imagine Entertainment		381971	43869	4969	6.7	5412
8910100	Little Man	2006-07-14	Wide	Sony Pictures	Little-Man	2006		0	21613176	2533	2537	10296	1864669	33291545			Contemporary Fiction	Original Screenplay	Live Action	Comedy	64000000	58295702	43000000	75027902			PG-13	for crude and sexual humor throughout, language and brief drug references				430304	46865	3887	3.5	17564
8990100	Halloween	2007-08-31	Wide	MGM	Halloween-(2007)	2007		1	26362367	3472	3475	15513	1942747	39481963			Fantasy	Original Screenplay	Live Action	Horror	15000000	58269151	19245250	71396646	Halloween		R	for strong brutal bloody violence and terror throughout, sexual content, graphic nudity and language				373883	54785	1107	6	40052
9040100	Step Up 2 the Streets	2008-02-14	Wide	Walt Disney	Step-Up-2-the-Streets	2008	98	1	18908826	2470	2528	13090	1742249	26340193			Contemporary Fiction	Original Screenplay	Live Action	Drama	17500000	58017783	90569127	68118371	Step Up		PG-13	for language, some suggestive material and brief violence.	Summit Entertainment			1023481	58107	835	5.6	20531
9100100	Invincible	2006-08-25	Wide	Walt Disney	Invincible-(2006)	2006	104	0	17031122	2917	2987	16872	2965619	48216225			Dramatization	Based on Real Life Events	Live Action	Drama	40000000	57806952	694175	74398864			PG	for sports action and some mild language.	Walt Disney Pictures			445990	47644	2648	7	16676
9180100	Blood Diamond	2006-12-08	Wide	Warner Bros.	Blood-Diamond	2006	143	0	8648324	1910	1920	14163	5457347	62724199			Historical Fiction	Original Screenplay	Live Action	Action	100000000	57377916	114000000	72510097			R	for strong violence and language	Initial Entertainment Group	Virtual Studios	Spring Creek Prod	450259	49530	450	8	119981
9370100	Saw V	2008-10-24	Wide	Lionsgate	Saw-V	2008		1	30053954	3060	3084	11961	1604098	30473460	26497	635298	Contemporary Fiction	Original Screenplay	Live Action	Horror	10800000	56746769	61463009	66626084	Saw		R	for sequences of grisly bloody violence and torture, language and brief nudity				1132626	63436	1293	5.7	31470
9680100	The Haunting in Connecticut	2009-03-27	Wide	Lionsgate	Haunting-in-Connecticut-The	2009		0	23004765	2732	2732	13021	1510047	29656962	84117	2054952	Contemporary Fiction	Based on Real Life Events	Live Action	Horror	0	55389516	23369006	62257818	Haunting in Connecticut	1593136	PG-13	for some intense sequences of terror and disturbing images	Gold Circle Films			1457765	100359		5.2	10536
9690100	Ghosts of Girlfriends Past	2009-05-01	Wide	Warner Bros.	Ghosts-of-Girlfriends-Past	2009		0	15411434	3175	3175	16184	1620985	24682168	87973	2198023	Fantasy	Original Screenplay	Live Action	Romantic Comedy	0	55250026	47262776	62101028		35075541	PG-13	for sexual content throughout, some language and a drug reference				821640	69606		5.7	57094
9700100	Why Did I Get Married?	2007-10-12	Wide	Lionsgate	Why-Did-I-Get-Married-(2007)	2007		0	21353789	2011	2034	9426	1944178	33885255			Contemporary Fiction	Based on Play	Live Action	Romantic Comedy	15000000	55204525	729653	67641587	Why Did I Get Married		PG-13	for mature thematic material, sexual references and language.				906108	55566	2568	4.2	5809
9740100	The Guardian	2006-09-29	Wide	Walt Disney	Guardian-The-(2006)	2006	139	0	18006064	3241	3241	17503	3221372	54197634			Contemporary Fiction	Original Screenplay	Live Action	Action	0	55011732	32000000	70801353			PG-13	for intense sequences of action/peril, brief strong language and some sensuality	Touchstone Pictures	Beacon Pictures	Contrafilm	406816	48412	104249	2.7	11
9820100	The Omen	2006-06-06	Wide	20th Century Fox	Omen-The-(2006)	2006		0	16026496	2723	2723	9056	1271986	14277385			Contemporary Fiction	Remake	Live Action	Horror	25000000	54607383	64688201	70280952			R	for disturbing violent content, graphic images and some language				466909	45662	2334	5.4	24664
9870100	TMNT	2007-03-23	Wide	Warner Bros.	Teenage-Mutant-Ninja-Turtles-(2007)	2007	86	0	24255205	3110	3120	14252	1702653	31001626			Science Fiction	Based on Comic/Graphic Novel	Digital Animation	Action	35000000	54149098	41946920	66348382	Teenage Mutant Ninja Turtles		PG	for animated action violence, some scary cartoon images and mild language	Imagi Studios			453556	51939	3167	6.6	26279
9880100	Final Destination 3	2006-02-10	Wide	New Line	Final-Destination-3	2006		1	19173094	2880	2880	13502	1345698	18695596			Fantasy	Original Screenplay	Live Action	Horror	25000000	54098051	58700000	69625427	Final Destination		R	for strong horror violence/gore, language and some nudity				414982	43679	2006	5.9	32446
9970100	P.S. I Love You	2007-12-21	Wide	Warner Bros.	P-S-I-Love-You	2007	126	0	6481221	2454	2471	13553	2638019	32777084			Contemporary Fiction	Based on Fiction Book/Short Story	Live Action	Romantic Comedy	30000000	53695808	102073870	64472412			PG-13	for sexual references and brief nudity	Alcon Entertainment			431308	56941	620	6.9	35119
10120100	The Prestige	2006-10-20	Wide	Walt Disney	Prestige-The	2006	130	0	14801808	2281	2305	12867	2843750	46041455			Historical Fiction	Based on Fiction Book/Short Story	Live Action	Thriller/Suspense	40000000	53089891	51317475	68289913			PG-13	for violence and disturbing images.	Touchstone Pictures	Warner Bros.		482571	48780	162	8.4	209786
10170100	Sweeney Todd: The Demon Barber of Fleet Street	2007-12-21	Wide	Paramount Pictures	Sweeney-Todd-The-Demon-Barber-of-Fleet-Street	2007	117	0	9300805	1249	1507	9220	2175979	40855202			Historical Fiction	Based on Musical or Opera	Live Action	Musical	0	52898073	100431771	63674445			R	for graphic bloody violence	DreamWorks Pictures	Paramount Pictures	Parkes+Macdonald Productions	408236	56757	787	7.7	106107
10290100	The Strangers	2008-05-30	Wide	Focus Features	Strangers-The	2008		0	20997985	2467	2477	10298	1406105	23402695			Contemporary Fiction	Original Screenplay	Live Action	Thriller/Suspense	9000000	52597610	30454066	61754572	The Strangers		R	for violence/terror and language				482606	59727	925	6	35297
10330100	The Lake House	2006-06-16	Wide	Warner Bros.	Lake-House-The	2006	99	0	13616196	2645	2645	13971	2488076	39933825			Fantasy	Remake	Live Action	Drama	40000000	52330111	62500000	67350043			PG	for some language and a disturbing image	Warner Bros.	Vertigo Entertainment		410297	45668	1850	6.8	36863
10400100	The Forbidden Kingdom	2008-04-18	Wide	Lionsgate	Forbidden-Kingdom-The	2008	105	0	21401121	3151	3151	12997	1767296	30699158	58273	730550	Fantasy	Based on Fiction Book/Short Story	Live Action	Action	55000000	52075270	77000000	61141298			PG-13	for sequences of martial arts action and some violence	Casey Silver	Lionsgate	Weinstein Company	865556	59103	926	6.7	36818
10450100	Funny People	2009-07-31	Wide	Universal	Funny-People	2009	146	0	22657780	3007	3008	10370	852601	15143649			Contemporary Fiction	Original Screenplay	Live Action	Comedy	72500000	51855045	20025260	58285071		33644716	R	For language and crude sexual humor throughout, and some sexuality	Universal Pictures	Columbia Pictures	Relativity Media	1201167	66509		6.4	92291
10510100	My Bloody Valentine	2009-01-16	Wide	Lionsgate	My-Bloody-Valentine	2009	101	0	21241456	2534	2534	8202	1140109	21641751			Contemporary Fiction	Remake	Live Action	Horror	14000000	51545952	51290050	57937645			R	for graphic brutal horror violence and grisly images throughout, some strong sexuality, graphic nudity and language				1179891	65601		5.5	40961
10560100	Hoodwinked	2006-01-13	Wide	Weinstein Co.	Hoodwinked	2005		0	0	0	3020	16295	2014786	31482113			Fantasy	Based on Folk Tale/Legend/Fairytale	Digital Animation	Comedy	17500000	51221667	58456779	65923451	Hoodwinked		PG	for some mild action and thematic elements.				443536	42734	3235	6.7	20570
10730100	The Tale of Despereaux	2008-12-19	Wide	Universal	Tale-of-Despereaux-The	2008	93	0	10103675	3104	3107	14161	1890292	27496608			Kids Fiction	Based on Fiction Book/Short Story	Digital Animation	Adventure	60000000	50877145	39605172	59373131			G		Universal Pictures			420238	65577	1946	6.1	7544
10840100	Resident Evil: Extinction	2007-09-21	Wide	Sony Pictures	Resident-Evil-Extinction	2007		1	23678580	2828	2848	12480	1876558	34552196	42462	484285	Science Fiction	Based on Game	Live Action	Action	45000000	50648679	95514241	62059350	Resident Evil		R	for strong horror violence throughout and some nudity				432021	55232	287	6.2	50547
10900100	Music and Lyrics	2007-02-14	Wide	Warner Bros.	Music-and-Lyrics	2007	104	0	13623630	2955	2955	14869	1292133	21182037			Contemporary Fiction	Original Screenplay	Live Action	Romantic Comedy	40000000	50572589	95727767	61966123			PG-13	for some sexual content.	Castle Rock Entertainment			758766	51084	1886	6.6	32467
11190100	Australia	2008-11-26	Wide	20th Century Fox	Australia	2008	165	0	14800723	2642	2721	13633	1993183	29520236	81531	1460643	Historical Fiction	Original Screenplay	Live Action	Drama	130000000	49554002	165526808	58037456			PG-13	for some violence, a scene of sensuality, and brief strong language	Twentieth Century Fox	Bazmark Film 2 Pty Ltd		455824	63853	864	6.8	38418
11210100	Land of the Lost	2009-06-05	Wide	Universal	Land-of-the-Lost	2009	102	0	18837350	3521	3534	13023	1526515	23149430	166548	3990751	Fantasy	Based on TV	Live Action	Comedy	100000000	49438370	20110271	55568722		25383704	PG-13	For crude and sexual content, and for language including a drug reference	Universal Pictures			457400	69278		5.3	45751
11260100	This Christmas	2007-11-21	Wide	Sony Pictures	This-Christmas	2007		0	17958183	1858	1921	8926	1592244	24411503			Contemporary Fiction	Original Screenplay	Live Action	Drama	13000000	49121934	611611	60188640			PG-13	for comic sexual content and some violence				937375	56158	5606	5.4	3363
11280100	My Sister's Keeper	2009-06-26	Wide	Warner Bros.	My-Sisters-Keeper	2009	109	0	12442212	2606	2606	13379	1708798	23550853	22936	458451	Contemporary Fiction	Based on Fiction Book/Short Story	Live Action	Drama	27500000	49200230	47472772	55301061		21025825	PG-13	for mature thematic content, some disturbing images, sensuality, language and brief teen drinking	New Line Cinema			1078588	69712		7.4	63599
11330100	Firewall	2006-02-10	Wide	Warner Bros.	Firewall	2006	105	0	13635463	2840	2840	14669	1924298	23322630			Contemporary Fiction	Original Screenplay	Live Action	Thriller/Suspense	50000000	48751189	34000000	62743891			PG-13	for some intense sequences of violence, and for some language	Village Roadshow Productions	Jon Sehstack	Beacon Pictures	408345	43871	2781	5.8	25104
11350100	Date Movie	2006-02-17	Wide	20th Century Fox	Date-Movie	2006		0	19076261	2896	2898	13117	1066304	18901710			Contemporary Fiction	Original Screenplay	Live Action	Comedy	20000000	48548426	36597739	62482932			PG-13	for continuous crude and sexual humor, including language	Regency Enterprises			466342	43919	2740	2.6	31936
11410100	The House Bunny	2008-08-22	Wide	Sony Pictures	House-Bunny-The	2008		0	14533702	2714	2763	16433	1034632	16582697			Contemporary Fiction	Original Screenplay	Live Action	Comedy	25000000	48237389	23153212	56635261			PG-13	for sex-related humor, partial nudity and brief strong language.				852713	61250	989	5.5	19128
11500100	Nim's Island	2008-04-04	Wide	20th Century Fox	Nims-Island	2008	96	0	13210579	3513	3518	20705	1260129	21284799			Fantasy	Based on Fiction Book/Short Story	Live Action	Adventure	37000000	48006762	53850663	56364489			PG	for mild adventure action and brief language.	Walden Media			410377	58972	1567	6	10468
11590100	When a Stranger Calls	2006-02-03	Wide	Sony Pictures	When-a-Stranger-Calls-(2006)	2006		0	21607203	2999	3004	12408	854402	13276661			Contemporary Fiction	Remake	Live Action	Horror	15000000	47860214	19355221	61597184			PG-13	for intense terror, violence and some language.				455857	43904	2887	4.7	16604
11600100	Premonition	2007-03-16	Wide	Sony Pictures	Premonition	2007	97	0	17558689	2831	2831	11695	1775747	33639542			Contemporary Fiction	Original Screenplay	Live Action	Thriller/Suspense	20000000	47852604	33608739	58633348			PG-13	for some violent content, disturbing images, thematic material and brief language	Tri-Star Pictures	Metro-Goldwyn-Mayer Pictures	Hyde Park Entertainment	477071	51925	2207	5.7	25438
11630100	Dan in Real Life	2007-10-26	Wide	Walt Disney	Dan-in-Real-Life	2007	98	0	11809445	1921	1941	13622	1290117	20990743			Contemporary Fiction	Original Screenplay	Live Action	Romantic Comedy	0	47642963	18026038	58350234			PG-13	for some innuendo	Touchstone Pictures	Focus Features	Jon Sehstack	480242	55267	1304	7	34894
11690100	The Kingdom	2007-09-28	Wide	Universal	Kingdom-The	2007	111	0	17135055	2793	2836	12099	1921021	35660400	63927	828391	Contemporary Fiction	Original Screenplay	Live Action	Action	72500000	47467250	39042352	58161175			R	for intense sequences of graphic brutal violence, and for language	Universal Pictures			431197	54736	1209	7.1	47428
11730100	Hostel	2006-01-06	Wide	Lionsgate	Hostel	2006	95	0	19556099	2195	2337	8784	1517705	23868559			Contemporary Fiction	Original Screenplay	Live Action	Horror	4800000	47326473	34914637	60910248	Hostel		R	for brutal scenes of torture and violence, strong sexual content, language and drug use	Screen Gems	Lionsgate	Quentin Tarantino	450278	42723	1297	5.7	65079
11750100	Nanny McPhee	2006-01-27	Wide	Universal	Nanny-McPhee	2006		0	14503650	1995	2148	13965	2494928	42756363			Fantasy	Based on Fiction Book/Short Story	Live Action	Comedy	25000000	47124400	81466299	60650175	Nanny McPhee		PG	for mild thematic elements, some rude humor and brief language.				396752	43560	2104	6.7	13465
11790100	Shooter	2007-03-23	Wide	Paramount Pictures	Shooter	2007	126	0	14523571	2806	2806	12758	3222426	57607577			Contemporary Fiction	Based on Fiction Book/Short Story	Live Action	Thriller/Suspense	60000000	47003582	48534978	57593043			R	for strong graphic violence and some language.	di Bonaventura Pictures			822854	51935	759	7.1	66659
11810100	Silent Hill	2006-04-21	Wide	Sony Pictures	Silent-Hill	2006		0	20152598	2926	2932	11901	1786204	23006425			Contemporary Fiction	Based on Game	Live Action	Horror	50000000	46982632	47721595	60467716	Silent Hill	153651	R	for strong horror violence and gore, disturbing images, and some language				384537	45081	1078	6.5	65858
12080100	Made of Honor	2008-05-02	Wide	Sony Pictures	Made-of-Honor	2008		0	14756850	2729	2816	14188	1460516	20236933			Contemporary Fiction	Original Screenplay	Live Action	Romantic Comedy	40000000	46012734	60536004	54023301			PG-13	for sexual content and language				866439	59333	2035	5.5	15358
12140100	Underworld 3: Rise of the Lycans	2009-01-23	Wide	Sony Pictures	Underworld-3-Rise-of-the-Lycans	2009		1	20828511	2942	2942	10180	2527081	46794412			Fantasy	Original Screenplay	Live Action	Action	35000000	45802315	43300000	51481799	Underworld		R	for bloody violence and some sexuality				834001	65682		6.6	98906
12170100	College Road Trip	2008-03-07	Wide	Walt Disney	College-Road-Trip	2008	82	0	13601419	2706	2706	16013	1093449	19243626			Contemporary Fiction	Original Screenplay	Live Action	Comedy	0	45610425	5263498	53550960			G	for General Audiences	Walt Disney Pictures	Gunnfilms		997047	58291	3863	3.6	6833
12530100	Confessions of a Shopaholic	2009-02-13	Wide	Walt Disney	Confessions-of-a-Shopaholic	2009	102	0	15066360	2507	2534	13577	1282069	19557383			Contemporary Fiction	Based on Fiction Book/Short Story	Live Action	Romantic Comedy	0	44277350	63750351	49767744		1527004	PG	for some mild language and thematic elements	Jerry Bruckheimer	Touchstone Pictures		1093908	67788		5.8	52621
12560100	The Sisterhood of the Traveling Pants 2	2008-08-06	Wide	Warner Bros.	Sisterhood-of-the-Traveling-Pants-2-The	2008		1	10678430	2707	2714	11556	1067363	15510477			Contemporary Fiction	Based on Fiction Book/Short Story	Live Action	Adventure	27000000	44089964	180167	51765798	Sisterhood of the Traveling Pants		PG-13	for mature material and sensuality				1018785	61071	2653	6.2	6615
12600100	Speed Racer	2008-05-09	Wide	Warner Bros.	Speed-Racer	2008	135	0	18561337	3606	3606	14710	1456520	22493008			Science Fiction	Based on TV	Live Action	Action	120000000	43945766	49448696	51596489			PG	for sequences of action, some violence, language and brief smoking	Warner Bros.			811080	59037	1702	6.3	32802
12650100	Prom Night	2008-04-11	Wide	Sony Pictures	Prom-Night-(2008)	2008		0	20804941	2700	2821	12974	675331	11745447			Contemporary Fiction	Remake	Live Action	Horror	18000000	43869350	13324305	51506769			PG-13	for violence and terror, some sexual material, underage drinking, and language				926129	59306	2633	3.6	13873
12680100	License to Wed	2007-07-03	Wide	Warner Bros.	License-to-Wed	2007	91	0	10422258	2604	2715	11041	1574860	22930953			Contemporary Fiction	Original Screenplay	Live Action	Romantic Comedy	35000000	43799818	26387270	53667504			PG	for sexual humor and language	Proposal Productions, Inc.			762114	53974	3455	5.1	15481
12690100	Underdog	2007-08-03	Wide	Walt Disney	Underdog	2007		0	11585121	3013	3013	16689	2048862	38749931			Fantasy	Based on TV	Animation/Live Action	Adventure	0	43760605	21272723	53619462			PG	for rude humor, mild language and action				467110	54278	4099	4.4	7582
12750100	We Are Marshall	2006-12-22	Wide	Warner Bros.	We-Are-Marshall	2006		0	6114264	2606	2608	13645	1745458	28034062			Dramatization	Based on Real Life Events	Live Action	Drama	65000000	43545364	0	54906950			PG	for emotional thematic material, a crash scene, and mild language				758794	49793	1791	7.1	15119
12790100	Year One	2009-06-19	Wide	Sony Pictures	Year-One	2009	97	0	19610304	3022	3024	10493	1096865	17250109	85011	1949575	Historical Fiction	Original Screenplay	Live Action	Comedy	60000000	43337279	14267444	48711094		34026621	PG-13	for crude and sexual content throughout, brief strong language and comic violence	Columbia Pictures	Ocean Pictures	Judd Apatow	1045778	69436		4.9	69074
12850100	No Reservations	2007-07-27	Wide	Warner Bros.	No-Reservations	2007	101	0	11704357	2425	2425	12871	1498991	27243419			Contemporary Fiction	Remake	Live Action	Romantic Comedy	28000000	43107979	48835977	52819800			PG	for some sensuality and language	Castle Rock Entertainment	Village Roadshow Productions		481141	54276	2458	6.3	17078
12970100	Rambo	2008-01-25	Wide	Lionsgate	Rambo	2008		1	18203876	2751	2764	11550	2148516	40644980	80012	923446	Contemporary Fiction	Based on Fiction Book/Short Story	Live Action	Action	47500000	42754105	69460426	50197371	Rambo		R	for strong graphic bloody violence, sexual assaults, grisly images and language.				462499	57528	707	7.3	83058
13000100	Because I Said So	2007-02-02	Wide	Universal	Because-I-Said-So	2007		0	13122865	2526	2529	12005	1407147	24052104			Contemporary Fiction	Original Screenplay	Live Action	Comedy	39000000	42674040	26864793	52288103			PG-13	for sexual content including dialogue, some mature thematic material and partial nudity	Universal Pictures	Gold Circle Films		490084	50802	2524	5.1	13555
13010100	The Unborn	2009-01-09	Wide	Universal	Unborn-The-(2009)	2009		0	19810585	2357	2359	9024	698023	11828987			Fantasy	Original Screenplay	Live Action	Horror	16000000	42670410	35538402	47961541		1004690	PG-13	for intense sequences of violence and terror, disturbing images, thematic material and language including some sexual references				1139668	65813		4.8	36840
13030100	Glory Road	2006-01-13	Wide	Walt Disney	Glory-Road	2006		0	13594734	2222	2397	12165	2154331	50751309			Dramatization	Based on Real Life Events	Live Action	Drama	30000000	42647449	151611	54888236			PG	for racial issues including violence and epithets, and mild language				385726	42730	3890	7.1	10401
13080100	Welcome Home Roscoe Jenkins	2008-02-08	Wide	Universal	Welcome-Home-Roscoe-Jenkins	2008		0	16207730	2387	2387	9881	1292390	22939897			Contemporary Fiction	Original Screenplay	Live Action	Comedy	27500000	42168445	1171110	49824487			PG-13	for crude and sexual content, language and some drug references.				494652	57949	3658	4.5	5724
13140100	Lady in the Water	2006-07-21	Wide	Warner Bros.	Lady-in-the-Water	2006	110	0	18044396	3235	3235	11529	856309	12529986			Fantasy	Original Screenplay	Live Action	Drama	75000000	42285169	30500000	54421973			PG-13	for some frightening sequences	Warner Bros.	Legendary Pictures	Blinding Edge Pictures	452637	45730	1867	5.8	47785
13190100	Drag Me To Hell	2009-05-29	Wide	Universal	Drag-Me-To-Hell	2009		0	15825480	2508	2510	10567	965038	15814220	134522	2427805	Fantasy	Original Screenplay	Live Action	Horror	30000000	42100625	49287862	47321097		21233048	PG-13	for sequences of horror violence, terror, disturbing images and language	Mandate Pictures			1127180	68952		6.6	137244
13250100	Meet the Browns	2008-03-21	Wide	Lionsgate	Meet-the-Browns	2008		0	20082809	2006	2016	8061	1300215	22667875			Contemporary Fiction	Based on Play	Live Action	Comedy	20000000	41975388	0	49283078			PG-13	for drug content, language including sexual references, thematic elements and brief violence.				1047494	70661	4239	3.1	3370
13280100	Nights in Rodanthe	2008-09-26	Wide	Warner Bros.	Nights-in-Rodanthe	2008	97	0	13418454	2704	2704	13577	1230737	18266752			Contemporary Fiction	Based on Fiction Book/Short Story	Live Action	Drama	0	41850659	37500000	49134221			PG-13	for some sensuality.	Carolina Pictures, LLC.			956038	62137	2381	5.7	6657
13340100	Aliens vs. Predator - Requiem	2007-12-25	Wide	20th Century Fox	Aliens-vs-Predator-Requiem	2007		1	10059425	2611	2617	7645	1647634	29949376			Science Fiction	Based on Movie	Live Action	Action	40000000	41797066	87087428	50634441	AVP		R	for violence, gore and language	Davis Entertainment			758730	56801	1021	4.8	43927
13350100	The Hills Have Eyes	2006-03-10	Wide	Fox Searchlight	Hills-Have-Eyes-The	2006		0	15708512	2620	2621	11328	2001188	27076462			Contemporary Fiction	Remake	Live Action	Horror	17000000	41778863	28576950	53770350	Hills Have Eyes		R	for strong gruesome violence and terror throughout, and for language.				454841	44397	1549	6.5	44052
13480100	Orphan	2009-07-24	Wide	Warner Bros.	Orphan	2009		0	12871483	2750	2750	11015	1032414	15530149	70256	1599096	Contemporary Fiction	Original Screenplay	Live Action	Drama	20000000	41596251	36741122	46754188		24188197	R	For disturbing violent content, some sexuality and language				1148204	70159		7	111634
13590100	John Tucker Must Die	2006-07-28	Wide	20th Century Fox	John-Tucker-Must-Die	2006		0	14276534	2560	2566	10294	1777604	32808182			Contemporary Fiction	Original Screenplay	Live Action	Comedy	0	41011711	27812815	52783003			PG-13	for sexual content and language				455967	47122	1689	5.5	19501
13720100	Max Payne	2008-10-17	Wide	20th Century Fox	Max-Payne	2008		0	17639849	3376	3381	12471	1466951	26859511			Contemporary Fiction	Based on Game	Live Action	Action	35000000	40687294	45074495	47772591			PG-13	for violence including intense shooting sequences, drug content, some sexuality and brief strong language				467197	62394	990	5.4	47886
13770100	Duplicity	2009-03-20	Wide	Universal	Duplicity	2009		0	13965110	2574	2579	12204	720628	11564909	49476	1209983	Contemporary Fiction	Original Screenplay	Live Action	Thriller/Suspense	60000000	40572825	40506741	45603855		12248874	PG-13	for language and some sexual content				1135487	67193		6.2	38650
13800100	Stranger Than Fiction	2006-11-10	Wide	Sony Pictures	Stranger-Than-Fiction	2006	105	0	13411093	2264	2270	10394	1882710	31104418			Contemporary Fiction	Original Screenplay	Live Action	Comedy	30000000	40435190	13137632	52041012			PG-13	for some disturbing images, sexuality, brief language and nudity	Columbia Pictures	Mandate Pictures		420223	46976	1034	7.8	74653
13820100	The Water Horse: Legend of the Deep	2007-12-25	Wide	Sony Pictures	Water-Horse-Legend-of-the-Deep-The	2007	105	0	9186054	2772	2777	11199	1612605	30606394			Fantasy	Based on Folk Tale/Legend/Fairytale	Live Action	Drama	0	40412817	62125082	49026503			PG	for some action/peril, mild language and brief smoking	Revolution Studios	Walden Media	Beacon Pictures	760329	56915	4634	6.6	7891
13980100	Righteous Kill	2008-09-12	Wide	Overture Films	Righteous-Kill	2008	110	0	16288361	3152	3152	13323	1120347	17877471			Contemporary Fiction	Original Screenplay	Live Action	Thriller/Suspense	60000000	40081410	38400000	47059371			R	for violence, pervasive language, some sexuality and brief drug use	Millennium Films			1034331	61697	1088	6	34914
14070100	The Illusionist	2006-08-18	Wide	Yari Film Group Releasing	Illusionist-The	2006		0	927956	51	1438	10886	2608156	38239483			Historical Fiction	Based on Fiction Book/Short Story	Live Action	Drama	16500000	39868642	43923420	51305772			PG-13	for some sexuality and violence.				443543	47610	766	7.7	92706
14090100	I Can Do Bad All By Myself	2009-09-11	Wide	Lionsgate	I-Can-Do-Bad-All-By-Myself	2009		0	23446785	2255	2255	10592	1108614	19657313	40785	754022	Contemporary Fiction	Based on Play	Live Action	Comedy	19000000	51733921	0	58148926	Madea	17205176	PG-13	For mature thematic material involving a sexual assault on a minor, violence, drug references and smoking				1385912	71268		3.9	7682
14120100	Epic Movie	2007-01-26	Wide	20th Century Fox	Epic-Movie	2007		0	18612544	2801	2840	11371	1051208	16909634			Contemporary Fiction	Original Screenplay	Live Action	Comedy	20000000	39739367	47119211	48692270			PG-13	for crude and sexual humor, language and some comic violence.	Regency Enterprises			799949	50798	1616	2.2	49174
